benchmark,workload,run,latency,stages,cu_total,distribution
nfchain,20mpps_64B,1,39,4,29,11+8+4+6
nfchain,20mpps_64B,2,39,4,29,4+6+8+11
nfchain,20mpps_64B,3,39,4,29,11+8+4+6
nfchain,20mpps_4flows,1,81,4,16,4+4+4+4
nfchain,20mpps_4flows,2,76,4,16,4+4+4+4
nfchain,20mpps_4flows,3,103,4,16,4+4+4+4
nfchain,20mpps_16flows,1,38,4,28,6+8+6+8
nfchain,20mpps_16flows,2,38,4,28,6+8+6+8
nfchain,20mpps_16flows,3,39,4,29,9+8+6+6
nfchain,20mpps_64flows,1,39,4,29,9+8+6+6
nfchain,20mpps_64flows,2,38,4,28,6+8+6+8
nfchain,20mpps_64flows,3,39,4,29,9+8+6+6
